vocabulary,key_id,length,n,exceed,fpr,fpr_lo,fpr_hi,p_k,p_lo,p_hi,mean_z,sd_z
SmolLM2,kgw-00,128,4857,129,0.026559604694255712,0.022221074634745985,0.03147902813555242,0.2551669209745301,0.2540608422223627,0.2562753784804821,0.1315336956366233,1.1151663894259853
SmolLM2,kgw-00,256,1875,52,0.027733333333333332,0.020780401717873147,0.036210949527334425,0.2519768397897445,0.2507240231003535,0.2532327746333752,0.06926626114905296,1.171613360659513
SmolLM2,kgw-00,512,511,14,0.0273972602739726,0.015057534512721264,0.04554102588523355,0.24898596194197817,0.24728925964849965,0.25068850289547895,-0.05529386054877517,1.2909183396509345
SmolLM2,kgw-01,128,4857,33,0.0067943174799258805,0.004681376325339394,0.009528631007738767,0.23731450896225625,0.23623521191706728,0.23839635827537123,-0.3250163134059851,1.0406074362454116
SmolLM2,kgw-01,256,1875,9,0.0048,0.002197143737140449,0.00909225698820542,0.23667409314847396,0.2354476639190198,0.2379038330000444,-0.4822216352717733,1.0905374105072687
SmolLM2,kgw-01,512,511,3,0.005870841487279843,0.001212348899572808,0.01706050861748655,0.2348796995799415,0.23321653854359742,0.23654902758551924,-0.7688460091314983,1.2007977531532683
SmolLM2,kgw-02,128,4857,43,0.008853201564751905,0.006414304417211082,0.011906867195088393,0.23746541692516643,0.2363858827604615,0.238547501890991,-0.31987194489983267,1.0825326576052001
SmolLM2,kgw-02,256,1875,17,0.009066666666666667,0.005290284330431323,0.014477042131013935,0.23774793204660677,0.23651958097199569,0.23897958023665716,-0.44262520196620597,1.1221011713738387
SmolLM2,kgw-02,512,511,6,0.011741682974559686,0.004320845796307035,0.025380509700036056,0.23730697168717477,0.23563786087092062,0.23898219297726925,-0.6470889606237107,1.1576456475563048
SmolLM2,kgw-03,128,4857,24,0.004941321803582459,0.0031684870413868846,0.007343428850086633,0.21682959137477154,0.21578427805638098,0.21787765608546028,-0.8490215787237559,1.06654570777344
SmolLM2,kgw-03,256,1875,17,0.009066666666666667,0.005290284330431323,0.014477042131013935,0.21694582862398934,0.2157566910179813,0.2181385250126632,-1.1975927681160805,1.1550296295809468
SmolLM2,kgw-03,512,511,5,0.009784735812133072,0.0031844950354460427,0.022685639391474763,0.21518068132123844,0.21356869025618172,0.21679929790851696,-1.7712528804021666,1.2910976527391704
SmolLM2,kgw-04,128,4857,10,0.0020588840848260242,0.0009877426495196867,0.0037830910438219367,0.21854323513137378,0.2174949381993866,0.21959426679699443,-0.8046260136575719,1.0274746048354102
SmolLM2,kgw-04,256,1875,3,0.0016,0.0003300800850571784,0.004668692577929684,0.21832337953371528,0.21713151204311412,0.2195187884775581,-1.1469614032251234,1.0617783018509177
SmolLM2,kgw-04,512,511,3,0.005870841487279843,0.001212348899572808,0.01706050861748655,0.21863503055153238,0.21701368433193335,0.22026292187579072,-1.5992950238321355,1.1349652709843827
SmolLM2,kgw-05,128,4857,176,0.036236359892938025,0.031158250822480697,0.041881220605128715,0.2610473012625966,0.25993294397877614,0.2621639801502462,0.28169679659832325,1.112660675094747
SmolLM2,kgw-05,256,1875,102,0.0544,0.044571332776918694,0.06564993468300201,0.2613897427776199,0.2601217293578935,0.26266075597126604,0.4101361562961576,1.180168490461705
SmolLM2,kgw-05,512,511,33,0.06457925636007827,0.0448667666977148,0.08950088665069508,0.2611142984381206,0.259390695253224,0.2628434580395301,0.5666584037969168,1.2776096948180609
SmolLM2,kgw-06,128,4857,68,0.014000411776816966,0.01088782829261833,0.017715521491344623,0.24495715890608494,0.2438660863543455,0.24605070944189034,-0.1307824476516187,1.0893762812081926
SmolLM2,kgw-06,256,1875,19,0.010133333333333333,0.006111643299545779,0.01577940398836495,0.24487214808997684,0.24363131767009102,0.24611618601985688,-0.18902699913105062,1.158277249770125
