key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-000,15485863,128,1500,32,0.021333333333333333,46691,184186,0.25349918017656065,0.08914659404788364,1.0943995272940172
kgw-000,15485863,256,588,15,0.025510204081632654,36100,144142,0.25044747540619666,0.015346411626867942,1.1858891259054751
kgw-000,15485863,512,179,6,0.0335195530726257,21494,86859,0.24745852473549085,-0.13162677341178758,1.2983213156699684
kgw-001,723417547,128,1500,9,0.006,43525,184186,0.23631003442172585,-0.3514710135792367,1.042647554863347
kgw-001,723417547,256,588,3,0.00510204081632653,33929,144142,0.23538593886584064,-0.5285023443761603,1.0741454298242805
kgw-001,723417547,512,179,0,0.0,20302,86859,0.233735133952728,-0.8197098960977303,1.232409021207743
kgw-002,97919819,128,1500,22,0.014666666666666666,43830,184186,0.23796596918332555,-0.3069908921956185,1.1098196770673772
kgw-002,97919819,256,588,5,0.008503401360544218,34369,144142,0.23843848427245357,-0.417058541684488,1.1168445007450691
kgw-002,97919819,512,179,2,0.0111731843575419,20734,86859,0.23870871182030648,-0.5732041451870733,1.1197945158419338
kgw-003,61299587,128,1500,6,0.004,39895,184186,0.21660169611153943,-0.8548577602486495,1.0631604572454707
kgw-003,61299587,256,588,4,0.006802721088435374,30899,144142,0.21436500117939256,-1.2904299447875462,1.12781302695133
kgw-003,61299587,512,179,3,0.01675977653631285,18821,86859,0.21668451167984895,-1.6988787923715714,1.34281189739687
kgw-004,214893571,128,1500,3,0.002,40505,184186,0.2199135656347388,-0.7698585980146887,1.0102700706505332
kgw-004,214893571,256,588,0,0.0,31528,144142,0.21872875359020966,-1.1298105642737772,1.0251113217157706
kgw-004,214893571,512,179,0,0.0,18952,86859,0.2181927031165452,-1.619031475043742,1.1419056428545342
kgw-005,244504453,128,1500,54,0.036,47952,184186,0.2603455202892728,0.2633465737306482,1.1439955982705607
kgw-005,244504453,256,588,35,0.05952380952380952,37698,144142,0.2615337653147591,0.4130915297279071,1.2016365966356892
kgw-005,244504453,512,179,15,0.08379888268156424,22660,86859,0.2608825798132606,0.5492789285070535,1.272155074365217
kgw-006,1615402669,128,1500,24,0.016,45279,184186,0.24583301662449913,-0.1082525128155034,1.0817891817335519
kgw-006,1615402669,256,588,2,0.003401360544217687,35189,144142,0.24412731889386854,-0.2161015174684579,1.1676756892046043
kgw-006,1615402669,512,179,3,0.01675977653631285,21246,86859,0.24460332262632542,-0.27956806553898056,1.3435113754568726
kgw-007,100227623,128,1500,117,0.078,51629,184186,0.2803090354315746,0.774152735752615,1.1182331589086667
kgw-007,100227623,256,588,75,0.12755102040816327,40398,144142,0.28026529394624744,1.0916739463117646,1.1255538045111697
kgw-007,100227623,512,179,43,0.24022346368715083,24356,86859,0.28040847810819836,1.5468548888322045,1.2616151625101935
kgw-008,994556701,128,1500,94,0.06266666666666666,49601,184186,0.2692984265905118,0.49597347996927466,1.1794892607958773
kgw-008,994556701,256,588,51,0.08673469387755102,38860,144142,0.2695952602294959,0.7134994592787508,1.191966477228984
kgw-008,994556701,512,179,24,0.1340782122905028,23414,86859,0.26956331525806193,1.0143929146293358,1.36119920873377
kgw-009,184782517,128,1500,43,0.028666666666666667,47475,184186,0.2577557469080169,0.20007680098991681,1.0721467151135227
kgw-009,184782517,256,588,28,0.047619047619047616,37086,144142,0.25728795215828837,0.2655783530313734,1.1457651149946169
kgw-009,184782517,512,179,11,0.061452513966480445,22370,86859,0.2575438354114139,0.39173053902003696,1.3424628400434713
kgw-010,1402624607,128,1500,4,0.0026666666666666666,41502,184186,0.22532657205216466,-0.6307599955019118,0.999019458839092
kgw-010,1402624607,256,588,1,0.0017006802721088435,32592,144142,0.22611036339165544,-0.8606347640144207,1.0486135795811222
kgw-010,1402624607,512,179,1,0.00558659217877095,19722,86859,0.22705764514903465,-1.1629411248402495,1.2255726828180236
kgw-011,1200835523,128,1500,24,0.016,45333,184186,0.2461261985167168,-0.09841412093261007,1.0839789080882687
kgw-011,1200835523,256,588,9,0.015306122448979591,35564,144142,0.24672892009268638,-0.11690763619454866,1.095486717490775
kgw-011,1200835523,512,179,7,0.03910614525139665,21569,86859,0.24832199311527878,-0.08307455930721074,1.330547086677139
kgw-012,293440307,128,1500,40,0.02666666666666667,46562,184186,0.25279880121181847,0.07141515058368766,1.0899247039081328
kgw-012,293440307,256,588,20,0.034013605442176874,36663,144142,0.25435334600602183,0.15795256368586094,1.159099314836411
kgw-012,293440307,512,179,8,0.0446927374301676,21860,86859,0.25167225042885594,0.08780527461498307,1.203731845973273
kgw-013,1365399379,128,1500,6,0.004,42768,184186,0.23220005863637844,-0.45493672792413925,1.0591971137022427
kgw-013,1365399379,256,588,6,0.01020408163265306,33605,144142,0.23313815543006203,-0.6090219898547123,1.1060003110139185
kgw-013,1365399379,512,179,3,0.01675977653631285,20021,86859,0.23050000575645588,-0.9899509675331649,1.3056311486401593
kgw-014,1129106999,128,1500,77,0.051333333333333335,49328,184186,0.26781622924652254,0.4558520539239052,1.101510728902899
kgw-014,1129106999,256,588,45,0.07653061224489796,38694,144142,0.2684436180988192,0.6673601762535328,1.1583165044493386
kgw-014,1129106999,512,179,22,0.12290502793296089,23336,86859,0.2686653081430825,0.9501548649386431,1.3115511797476365
kgw-015,1221520189,128,1500,22,0.014666666666666666,44900,184186,0.2437753140846753,-0.1606915118938602,1.0742710887781994
kgw-015,1221520189,256,588,4,0.006802721088435374,34909,144142,0.24218478999875123,-0.28635283159133085,1.1456431122228072
kgw-015,1221520189,512,179,0,0.0,21098,86859,0.24289941169021056,-0.3728295868104024,1.2680944102800673
kgw-016,1475713847,128,1500,50,0.03333333333333333,47753,184186,0.2592650907235078,0.23724949562850065,1.0811760004257804
kgw-016,1475713847,256,588,27,0.04591836734693878,37390,144142,0.25939698353013,0.33946852910389586,1.1214017395794278
kgw-016,1475713847,512,179,10,0.055865921787709494,22492,86859,0.2589484106425356,0.45416138815046353,1.1471641817405138
kgw-017,1588911209,128,1500,15,0.01,43984,184186,0.2388020805055759,-0.28596135397746547,1.085326280447789
kgw-017,1588911209,256,588,13,0.022108843537414966,34263,144142,0.23770309833358771,-0.44513018208712624,1.1779331893961469
kgw-017,1588911209,512,179,4,0.0223463687150838,20775,86859,0.2391807412012572,-0.5511523989567564,1.3757529196742142
kgw-018,1410462491,128,1500,175,0.11666666666666667,53123,184186,0.2884204011162629,0.9817157869583657,1.1529841845689102
kgw-018,1410462491,256,588,95,0.16156462585034015,40866,144142,0.2835120922423721,1.2105933621396106,1.1729497661386799
kgw-018,1410462491,512,179,57,0.31843575418994413,24470,86859,0.281720950045476,1.6167290352299508,1.401159670829748
kgw-019,373282621,128,1500,19,0.012666666666666666,44776,184186,0.24310208159143473,-0.17790571951789294,1.0852167742140904
kgw-019,373282621,256,588,5,0.008503401360544218,34834,144142,0.24166446975898767,-0.30396980545320373,1.0793408064771879
kgw-019,373282621,512,179,2,0.0111731843575419,20994,86859,0.24170206887023798,-0.4248231575746204,1.177871273669316
kgw-020,1792642067,128,1500,35,0.023333333333333334,46064,184186,0.25009501265025574,0.0023184120714565366,1.0659575681892226
kgw-020,1792642067,256,588,16,0.027210884353741496,35881,144142,0.24892814030608706,-0.03921864967152176,1.0894041041145175
kgw-020,1792642067,512,179,5,0.027932960893854747,21841,86859,0.25145350510597636,0.07289670403317507,1.102138890333285
kgw-021,553680571,128,1500,122,0.08133333333333333,50869,184186,0.27618277176332623,0.6708294595087234,1.1681897992062433
kgw-021,553680571,256,588,66,0.11224489795918367,40084,144142,0.2780868865424373,1.0167925502278816,1.144166985746067
kgw-021,553680571,512,179,51,0.2849162011173184,24378,86859,0.2806617621662695,1.5564309676086636,1.342183217209695
kgw-022,1512432029,128,1500,15,0.01,42849,184186,0.2326398314747049,-0.44501321910292413,1.0600123773040053
kgw-022,1512432029,256,588,3,0.00510204081632653,33485,144142,0.2323056430464403,-0.6417776557171421,1.0689218028931746
kgw-022,1512432029,512,179,1,0.00558659217877095,19808,86859,0.22804775555785814,-1.1189638368682642,1.192473309254974
kgw-023,366247627,128,1500,23,0.015333333333333332,45547,184186,0.24728806749698673,-0.06955239456262773,1.0365454002752763
kgw-023,366247627,256,588,8,0.013605442176870748,35344,144142,0.2452026473893799,-0.17359069795272936,1.1259935694265175
kgw-023,366247627,512,179,2,0.0111731843575419,20882,86859,0.24041262275642133,-0.49534681508017786,1.176265252243925
kgw-024,105110249,128,1500,23,0.015333333333333332,45247,184186,0.24565927920688868,-0.11192959087425053,1.050738691035727
kgw-024,105110249,256,588,7,0.011904761904761904,35836,144142,0.2486159481622289,-0.050642043289914125,1.1333460826762252
kgw-024,105110249,512,179,4,0.0223463687150838,21539,86859,0.2479766057633636,-0.10647212811128748,1.292606428779797
kgw-025,1784745587,128,1500,4,0.0026666666666666666,41661,184186,0.22618982984591662,-0.6088331155203153,0.9918912122155153
